extn,2
sigma,0.4
sdtrl,0.1         
sdtmh,0.1         
sdtml,0.1         
5.5439,0.8820,5.8108,0.7959,5.6340,0.7516
5.7595,0.0142,5.8636,0.0065,5.8164,0.0024
5.8829,0.0017,6.0905,0.0002,6.0119,0.0000
6.0528,0.0123,6.2790,0.0130,6.0505,0.0110
6.2944,0.0124,6.8349,0.0016,6.4635,0.0078
6.3723,0.0033,6.9827,0.0134,6.7427,0.0157
6.4205,0.0057,7.0095,0.0196,6.8630,0.0001
6.5703,0.0029,7.0887,0.0008,6.9172,0.0170
6.7182,0.0067,7.5727,0.0003,7.3798,0.0003
6.9397,0.0049,7.6694,0.0008,7.5412,0.0062
7.0410,0.0010,7.7801,0.0097,7.6034,0.0009
7.0550,0.0103,7.9130,0.0022,7.7106,0.0001
7.2662,0.0022,8.0420,0.0100,7.7745,0.0224
7.3439,0.0164,8.1256,0.0027,7.9025,0.0027
7.4159,0.0066,8.3264,0.0009,8.0140,0.0012
7.5016,0.0126,8.6164,0.0234,8.3619,0.0249
7.5161,0.0017,8.6526,0.0233,8.3782,0.0003
7.6111,0.0027,8.6677,0.0312,8.5090,0.0009
7.6738,0.0036,8.7238,0.0067,8.5459,0.0055
7.6987,0.0006,8.8404,0.0029,8.6110,0.0079
7.7372,0.0172,8.9039,0.0024,8.6543,0.0388
7.7873,0.0041,9.0376,0.0034,8.6763,0.0036
7.8556,0.0001,9.1136,0.0214,9.0688,0.0177
7.9433,0.0040,9.1785,0.0106,9.1092,0.0739
8.0605,0.0005,9.3216,0.0036,9.2187,0.0123
8.1188,0.0077,9.3742,0.0089,9.2290,0.0079
8.1568,0.0011,9.4406,0.1549,9.2601,0.0031
8.1942,0.0013,9.4697,0.0009,9.2901,0.0211
8.2580,0.0037,9.5355,0.0977,9.3130,0.1657
8.2829,0.0091,9.5964,0.0025,9.3638,0.0854
8.3072,0.0115,9.6279,0.0132,9.4028,0.0002
8.3741,0.0232,9.6785,0.1575,9.4123,0.0016
8.3874,0.0185,9.7055,0.0033,9.4882,0.0371
8.4093,0.0029,9.8530,0.0121,9.5496,0.0435
8.4887,0.0036,9.8908,0.0168,9.7554,0.0439
8.4933,0.0034,9.9098,0.0201,9.8362,0.0688
8.5085,0.0072,9.9173,0.0004,9.8756,0.0334
8.5572,0.0361,9.9816,0.0043,9.9787,0.0067
8.5718,0.0234,10.0147,0.0017,10.0316,0.0016
8.5854,0.0044,10.0433,0.0332,10.0629,0.0060
8.6171,0.0049,10.1276,0.0676,10.0755,0.0036
8.6684,0.0021,10.2041,0.0476,10.0795,0.0004
8.6962,0.0386,10.2368,0.0131,10.0853,0.0066
8.7126,0.0048,10.2607,0.0304,10.1134,0.0009
8.7175,0.0304,10.3654,0.0378,10.1434,0.0017
8.7411,0.0223,10.3802,0.0227,10.1738,0.0032
8.7531,0.0170,10.4078,0.0046,10.2430,0.0047
8.7601,0.0063,10.4775,0.0031,10.3185,0.1154
8.7735,0.0647,10.5408,0.0035,10.3416,0.0359
8.7924,0.0472,10.5667,0.0050,10.4130,0.0130
8.8271,0.0613,10.6201,0.0737,10.4619,0.0886
8.8487,0.0419,10.6494,0.0035,10.4963,0.0102
8.8778,0.0226,10.6830,0.0126,10.5343,0.0039
8.8839,0.0127,10.7210,0.0025,10.5978,0.0001
8.9069,0.0196,10.7501,0.0035,10.6416,0.0104
8.9282,0.0267,10.7577,0.0276,10.7476,0.0206
8.9382,0.0320,10.7792,0.0338,10.7875,0.0203
8.9484,0.0600,10.8084,0.0102,10.8052,0.0158
8.9936,0.0169,10.8617,0.0248,10.8360,0.1089
9.0579,0.0052,10.8802,0.0849,10.8749,0.0006
9.0736,0.0236,10.9211,0.0216,10.8855,0.0301
9.0888,0.0071,10.9365,0.0146,10.8960,0.0014
9.1060,0.0380,10.9918,0.0105,10.9070,0.0144
9.1288,0.0245,10.9947,0.0044,11.0542,0.1198
9.1380,0.0024,11.0470,0.0001,11.0795,0.0207
9.1665,0.0441,11.0755,0.0797,11.0835,0.0986
9.1867,0.0095,11.1074,0.0057,11.1199,0.0106
9.2175,0.0078,11.2481,0.0007,11.1419,0.0407
9.2315,0.0470,11.2540,0.0028,11.1651,0.0153
9.2514,0.0018,11.2808,0.0094,11.1971,0.0398
9.2574,0.0209,11.3118,0.0009,11.2017,0.0466
9.2673,0.0914,11.3835,0.0006,11.2244,0.0673
9.2826,0.0253,11.4271,0.0469,11.2800,0.0022
9.2863,0.0078,11.4575,0.0194,11.3179,0.0622
9.2946,0.0097,11.5415,0.1531,11.3400,0.0363
9.3047,0.0342,11.5626,0.0287,11.3518,0.0600
9.3413,0.0118,11.5795,0.0244,11.3917,0.0202
9.3536,0.0066,11.5844,0.0006,11.4112,0.0048
9.3703,0.0012,11.6249,0.0064,11.4390,0.0134
9.3796,0.0116,11.6522,0.0113,11.5143,0.0023
9.4082,0.0275,11.6563,0.0025,11.5880,0.0100
9.4304,0.0019,11.6614,0.0065,11.6225,0.0030
9.4420,0.0024,11.7023,0.0403,11.6705,0.0522
9.4540,0.0072,11.7357,0.0520,11.6918,0.0110
9.4703,0.0159,11.7582,0.0296,11.7346,0.0077
9.4819,0.0028,11.8432,0.0040,11.7426,0.0340
9.4876,0.0004,11.8644,0.0061,11.7693,0.0099
9.5003,0.0046,11.8739,0.0307,11.8006,0.0005
9.5056,0.0030,11.8905,0.0322,11.8132,0.0537
9.5290,0.0098,11.9061,0.0197,11.8459,0.0154
9.5520,0.0150,11.9943,0.0247,11.8612,0.0409
